signal,QPSK_12_FR_2,QPSK_12,QPSK_34
-111.8,0.972593291364,0.831096162665,0.544503277266
-111.6,0.985581725698,0.858284620001,0.587140070672
-111.4,0.997538409277,0.883722828293,0.627475245073
-111.2,1.0,0.907457649814,0.66556538457
-111.0,1.0,0.92953594684,0.701467073261
-110.8,1.0,0.950004581645,0.735236895244
-110.6,1.0,0.968910416502,0.766931434623
-110.4,1.0,0.986300313686,0.796607275493
-110.2,1.0,1.0,0.824321001956
-110.0,1.0,1.0,0.85012919811
-109.8,1.0,1.0,0.874088448055
-109.6,1.0,1.0,0.896255335891
-109.4,1.0,1.0,0.916686445717
-109.2,1.0,1.0,0.935438361631
-109.0,1.0,1.0,0.952567667736
-108.8,1.0,1.0,0.968130948128
-108.6,1.0,1.0,0.982184786909
-108.4,1.0,1.0,0.994785768176
-108.2,1.0,1.0,1.0
-108.0,1.0,1.0,1.0
-107.8,1.0,1.0,1.0
-107.6,1.0,1.0,1.0
-107.4,1.0,1.0,1.0
-107.2,1.0,1.0,1.0
-107.0,1.0,1.0,1.0
-106.8,1.0,1.0,1.0
-106.6,1.0,1.0,1.0
-106.4,1.0,1.0,1.0
-106.2,1.0,1.0,1.0
-106.0,1.0,1.0,1.0
-105.8,1.0,1.0,1.0
-105.6,1.0,1.0,1.0
-105.4,1.0,1.0,1.0
-105.2,1.0,1.0,1.0
-105.0,1.0,1.0,1.0
-104.8,1.0,1.0,1.0
-104.6,1.0,1.0,1.0
-104.4,1.0,1.0,1.0
-104.2,1.0,1.0,1.0
-104.0,1.0,1.0,1.0
-103.8,1.0,1.0,1.0
-103.6,1.0,1.0,1.0
-103.4,1.0,1.0,1.0
-103.2,1.0,1.0,1.0
-103.0,1.0,1.0,1.0
-102.8,1.0,1.0,1.0
-102.6,1.0,1.0,1.0
-102.4,1.0,1.0,1.0
-102.2,1.0,1.0,1.0
-102.0,1.0,1.0,1.0
-101.8,1.0,1.0,1.0
-101.6,1.0,1.0,1.0
-101.4,1.0,1.0,1.0
-101.2,1.0,1.0,1.0
-101.0,1.0,1.0,1.0
-100.8,1.0,1.0,1.0
-100.6,1.0,1.0,1.0
-100.4,1.0,1.0,1.0
-100.2,1.0,1.0,1.0
-100.0,1.0,1.0,1.0
-99.8,1.0,1.0,1.0
-99.6,1.0,1.0,1.0
-99.4,1.0,1.0,1.0
-99.2,1.0,1.0,1.0
-99.0,1.0,1.0,1.0
-98.8,1.0,1.0,1.0
-98.6,1.0,1.0,1.0
-98.4,1.0,1.0,1.0
-98.2,1.0,1.0,1.0
-98.0,1.0,1.0,1.0
-97.8,1.0,1.0,1.0
-97.6,1.0,1.0,1.0
-97.4,1.0,1.0,1.0
-97.2,1.0,1.0,1.0
-97.0,1.0,1.0,1.0
-96.8,1.0,1.0,1.0
-96.6,1.0,1.0,1.0
-96.4,1.0,1.0,1.0
-96.2,1.0,1.0,1.0
-96.0,1.0,1.0,1.0
-95.8,1.0,1.0,1.0
-95.6,1.0,1.0,1.0
-95.4,1.0,1.0,1.0
-95.2,1.0,1.0,1.0
signal,QPSK_12_FR_2,QPSK_12,QPSK_34
-120.0,0.0,0.0,0.0
-119.8,0.0,0.0,0.0
-119.6,0.0,0.0,0.0
-119.4,0.0,0.0,0.0
-119.2,0.0,0.0,0.0
-119.0,0.0,0.0,0.0
-118.8,0.0,0.0,0.0
-118.6,0.0,0.0,0.0
-118.4,0.0,0.0,0.0
-118.2,0.0,0.0,0.0
